"record_id","git_status","tracked","path","top_level","second_level","extension","size_bytes","modified_utc","sha256","classification","evidence","proposed_action","approval_required"
"QW-00001","M","True","AGENTS.md","AGENTS.md","AGENTS.md",".md","4636","2026-07-16T07:40:00.0254819Z","b7fd53e2294fbe9d68ddeecf294d463254d94d5ef1dd243955bb678a022a6b74","CANDIDATE","governance-path","REVIEW_GOVERNANCE_CHANGE","True"
"QW-00002","M","True","docs/CODEX_MASTER_2026-05-23.md","docs","docs/CODEX_MASTER_2026-05-23.md",".md","49577","2026-07-24T08:22:39.5202899Z","f9775410aee75d4e90a7e4ed07245006afeeef3c98b0b4dfba656f84e6243235","HOLD","path-review","PRESERVE_NO_ACTION","True"
"QW-00003","M","True","docs/archive/2026-05/CLAUDE_FULL_UNDERSTANDING_2026-05-21.md","docs","docs/archive",".md","41999","2026-07-24T08:21:43.0907454Z","d74aa9eb87b88f27714f1d25e33e90964c1f4a4decb46d917010ac077f5a40f6","SUPERSEDED","archive-path","ARCHIVE_KEEP","True"
"QW-00004","M","True","docs/archive/2026-05/CODEX_FULL_UNDERSTANDING_2026-05-21.md","docs","docs/archive",".md","34038","2026-07-24T08:21:43.0845240Z","2df2d948e223fd3ad0d8c4f0b0f76523d7e40edce3b94e44faa2a3122776ca77","SUPERSEDED","archive-path","ARCHIVE_KEEP","True"
"QW-00005","M","True","docs/archive/2026-05/CODEX_REPORT_2026-05-21_PM.md","docs","docs/archive",".md","8904","2026-07-24T08:25:05.3947783Z","e7d0b0c35834a60c95e282098c2f62b92650d1d8e529c196f79837706abb3869","SUPERSEDED","archive-path","ARCHIVE_KEEP","True"
"QW-00006","M","True","docs/archive/2026-05/PROJECT_OVERVIEW_2026-05-22.md","docs","docs/archive",".md","27583","2026-07-24T08:22:39.5315474Z","2c0bac4216fd00f0f0ca1e6efeb164b22608e374022574694f6a45b2525811a8","SUPERSEDED","archive-path","ARCHIVE_KEEP","True"
"QW-00007","M","True","docs/archive/2026-05/UNDERSTANDING_REVIEW_ROOM_2026-05-21.md","docs","docs/archive",".md","25396","2026-07-24T08:21:43.0845240Z","474a41859e71d821ccd25bdf85b7b0780187664b348f53593b71c4f4d7b81045","SUPERSEDED","archive-path","ARCHIVE_KEEP","True"
"QW-00008","M","True","docs/archive/old-master-plans/MASTER_PLAN_V1_6_2026-05-21.md","docs","docs/archive",".md","22699","2026-07-24T08:21:52.5166823Z","694d428fc4be0f21fa83094059b8b01ee763e06bac310b8daa10b0a7e47d812b","SUPERSEDED","archive-path","ARCHIVE_KEEP","True"
"QW-00009","M","True","docs/coordination/ACTIVE_ASSIGNMENTS.md","docs","docs/coordination",".md","3633","2026-07-16T07:40:00.0234651Z","b5b176c0db8e10c787b790233c7194aa1e22f2836c052b844bf2993762a92a4b","SUPPORTING","operations-coordination-path","REVIEW_FOR_CURRENT_OPERATIONS_EVIDENCE","True"
"QW-00010","M","True","docs/coordination/AGENT_ROLES.md","docs","docs/coordination",".md","4884","2026-07-16T07:48:06.8956985Z","01bc975a5070c51018b00e4db48c0db65b34b69c11f32813f213010c6feb4779","SUPPORTING","operations-coordination-path","REVIEW_FOR_CURRENT_OPERATIONS_EVIDENCE","True"
